Data;Taxa de juros prefixada - estrutura a termo - LTN - 12 meses - (% a.a.) - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (Anbima) - ANBIMA366_TJTLN12366
04/06/2018;6,9569
05/06/2018;6,9569
06/06/2018;7,1977
07/06/2018;7,3412
08/06/2018;8,1181
09/06/2018;7,9862
10/06/2018;
11/06/2018;7,8466
12/06/2018;7,8466
13/06/2018;7,8353
14/06/2018;7,989
15/06/2018;8,4466
16/06/2018;8,1389
17/06/2018;
18/06/2018;7,9394
19/06/2018;7,9394
20/06/2018;7,7385
21/06/2018;7,8142
22/06/2018;7,8143
23/06/2018;7,8098
24/06/2018;
25/06/2018;7,7121
26/06/2018;7,7121
27/06/2018;7,6138
28/06/2018;7,7363
29/06/2018;7,4965
30/06/2018;7,4822
01/07/2018;
02/07/2018;7,4621
03/07/2018;7,4621
04/07/2018;7,5384
05/07/2018;7,6095
06/07/2018;7,6555
07/07/2018;7,5115
08/07/2018;
09/07/2018;7,5174
10/07/2018;7,5174
11/07/2018;7,4156
12/07/2018;7,4936
13/07/2018;7,5871
14/07/2018;7,5055
15/07/2018;
16/07/2018;7,4818
17/07/2018;7,4818
18/07/2018;7,3991
19/07/2018;7,4625
20/07/2018;7,4699
21/07/2018;7,4375
22/07/2018;
23/07/2018;7,4912
24/07/2018;7,4912
25/07/2018;7,4462
26/07/2018;7,3433
27/07/2018;7,3353
28/07/2018;7,3317
29/07/2018;
30/07/2018;7,3403
31/07/2018;7,3403
01/08/2018;7,3278
02/08/2018;7,3044
03/08/2018;7,3447
04/08/2018;7,3502
05/08/2018;
06/08/2018;7,3615
07/08/2018;7,3615
08/08/2018;7,4971
09/08/2018;7,4654
10/08/2018;7,5497
11/08/2018;7,8145
12/08/2018;
13/08/2018;7,8187
14/08/2018;7,8187
15/08/2018;7,598
16/08/2018;7,6089
17/08/2018;7,6117
18/08/2018;7,5962
19/08/2018;
20/08/2018;7,6715
21/08/2018;7,6715
22/08/2018;7,877
23/08/2018;7,8057
24/08/2018;7,9453
25/08/2018;7,8955
26/08/2018;
27/08/2018;7,857
28/08/2018;7,857
29/08/2018;7,9094
30/08/2018;7,862
31/08/2018;8,1731
01/09/2018;8,0677
02/09/2018;
03/09/2018;8,1702
04/09/2018;8,1702
05/09/2018;8,236
06/09/2018;8,2111
07/09/2018;8,0935
08/09/2018;
09/09/2018;
10/09/2018;7,9437
11/09/2018;7,9437
12/09/2018;7,9802
13/09/2018;7,9021
14/09/2018;8,1008
15/09/2018;8,0854
16/09/2018;
17/09/2018;7,9665
18/09/2018;7,9665
19/09/2018;7,9559
20/09/2018;7,9996
21/09/2018;7,9796
22/09/2018;7,9183
23/09/2018;7,9614
24/09/2018;7,9614
25/09/2018;7,9614
26/09/2018;7,9603
27/09/2018;7,8986
28/09/2018;7,8282
29/09/2018;7,8805
30/09/2018;
01/10/2018;7,8128
02/10/2018;7,8128
03/10/2018;7,7781
04/10/2018;7,7809
05/10/2018;7,7789
06/10/2018;7,8515
07/10/2018;
08/10/2018;7,5093
09/10/2018;7,5093
10/10/2018;7,2987
11/10/2018;7,2987
12/10/2018;7,3414
13/10/2018;
14/10/2018;
15/10/2018;7,281
16/10/2018;7,281
17/10/2018;7,2517
18/10/2018;7,2613
19/10/2018;7,2742
20/10/2018;7,2765
21/10/2018;
22/10/2018;7,1862
23/10/2018;7,1862
24/10/2018;7,1308
25/10/2018;7,1394
26/10/2018;7,2141
27/10/2018;7,1517
28/10/2018;
29/10/2018;7,0776
30/10/2018;7,0776
31/10/2018;7,005
01/11/2018;6,9979
02/11/2018;7,0124
03/11/2018;
04/11/2018;
05/11/2018;6,9739
06/11/2018;6,9739
07/11/2018;6,9939
08/11/2018;6,9667
09/11/2018;7,0011
10/11/2018;6,9575
11/11/2018;
12/11/2018;6,9182
13/11/2018;6,9182
14/11/2018;6,912
15/11/2018;6,8531
16/11/2018;6,7815
17/11/2018;6,7815
18/11/2018;
19/11/2018;6,8554
20/11/2018;6,8554
21/11/2018;6,8587
22/11/2018;6,8226
23/11/2018;6,8722
24/11/2018;6,8277
25/11/2018;
26/11/2018;6,8728
27/11/2018;6,8728
28/11/2018;6,9243
29/11/2018;6,8596
30/11/2018;6,9052
01/12/2018;6,9116
02/12/2018;
03/12/2018;6,8869
04/12/2018;6,8869
05/12/2018;6,9234
06/12/2018;6,8963
07/12/2018;6,8353
08/12/2018;6,7593
09/12/2018;
10/12/2018;6,7336
11/12/2018;6,7336
12/12/2018;6,7218
13/12/2018;6,7091
14/12/2018;6,5981
15/12/2018;6,5609
